,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
111路,上行,白石桥东站,动物园站,西直门外站,西直门内站,新开胡同站,新街口西站,平安里路口北站,厂桥路口东站,东官房站,北海北门站,地安门内站,景山东街站,景山东门站,沙滩路口西站,美术馆站,灯市西口站,灯市东口站,米市大街站,东单路口北站,崇文门内站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111路,下行,崇文门外站,东单路口北站,米市大街站,灯市东口站,灯市西口站,美术馆站,沙滩路口西站,景山东门站,景山东街站,地安门内站,北海北门站,东官房站,厂桥路口东站,平安里路口北站,新街口南站,新开胡同站,西直门内站,西直门外站,动物园站,白石桥东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112路,上行,亮果厂站,沙滩路口北站,美术馆东站,东四路口东站,朝内小街站,朝阳门内站,朝阳门外站,神路街站,东大桥路口东站,关东店站,呼家楼西站,小庄路口东站,红庙路口西站,英家坟站,慈云寺站,东八里庄站,十里堡站,甘露园小区站,青年路南口站,康家沟站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112路,下行,康家沟站,青年路南口站,甘露园小区站,十里堡站,东八里庄站,慈云寺站,英家坟站,红庙路口西站,小庄路口东站,呼家楼西站,关东店站,东大桥路口西站,神路街站,朝阳门外站,朝阳门内站,朝内小街站,东四路口东站,美术馆东站,沙滩路口北站,亮果厂站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113路,上行,大北窑南站,大北窑北站,光华桥北站,呼家楼北站,白家庄北站,长虹桥西站,三里屯站,工人体育场站,工人体育馆站,东四十条桥东站,东四十条桥西站,东四十条站,张自忠路站,宽街路口东站,北兵马司站,交道口南站,安定门内站,地坛西门站,蒋宅口站,外馆斜街站,安华西里站,安华桥南站,安华桥北站,安贞西里站,地铁北土城站,华严北里站,民族园西路站,祁家豁子站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113路,下行,祁家豁子站,民族园西路站,华严北里站,地铁北土城站,安贞西里站,安华桥北站,安华桥南站,安华西里站,外馆斜街站,蒋宅口站,地坛西门站,安定门内站,交道口南站,北兵马司站,宽街路口东站,张自忠路站,东四十条站,东四十条桥西站,东四十条桥东站,工人体育馆站,工人体育场站,三里屯站,长虹桥西站,白家庄站,呼家楼南站,大北窑北站,大北窑南站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114路,上行,南坞站,南坞(南行)站,东冉村站,四季青桥东站,车道沟桥西站,车道沟桥东站,北洼路站,紫竹院南门站,白石桥南站,四道口东站,百万庄站,甘家口大厦站,甘家口北站,钓鱼台站,木樨地北站,木樨地东站,白云路站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114路,下行,白云路站,公安大学站,木樨地北站,玉渊潭东门站,钓鱼台站,甘家口北站,甘家口大厦站,二里沟西口站,四道口东站,白石桥南站,紫竹院南门站,北洼路站,车道沟桥东站,板井站,四季青桥东站,四季青桥北站,东冉村站,南坞站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115路,上行,东黄城根北口站,宽街路口东站,张自忠路站,东四十条站,东四十条桥西站,东四十条桥东站,工人体育馆站,工人体育场站,三里屯站,长虹桥西站,团结湖路北口站,团结湖公园站,水碓路口南站,小庄路口北站,红庙路口西站,英家坟站,慈云寺站,东八里庄站,十里堡站,甘露园小区站,青年路南口站,康家沟站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115路,下行,康家沟站,青年路南口站,甘露园小区站,十里堡站,东八里庄站,慈云寺站,英家坟站,红庙路口西站,小庄路口北站,水碓路口南站,团结湖公园站,团结湖路北口站,长虹桥西站,三里屯站,工人体育场站,工人体育馆站,东四十条桥东站,东四十条桥西站,东四十条站,张自忠路站,宽街路口东站,东黄城根北口站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116路,上行,地铁柳芳站,东土城路站,和平里南口站,北小街豁口站,雍和宫桥东站,雍和宫站,北新桥路口南站,东四十二条站,魏家胡同站,钱粮胡同站,东四路口南站,灯市东口站,米市大街站,东单路口北站,崇文门内站,磁器口北站,红桥路口北站,法华寺站,北京体育馆西站,北京体育馆站,龙潭公园站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116路,下行,龙潭公园站,北京体育馆站,北京体育馆西站,法华寺站,红桥路口北站,磁器口北站,崇文门内站,东单路口北站,米市大街站,灯市东口站,东四路口南站,钱粮胡同站,魏家胡同站,东四十二条站,北新桥路口南站,雍和宫站,雍和宫桥东站,北小街豁口站,和平里南口站,东土城路站,地铁柳芳站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117路,上行,红庙路口东站,红庙路口北站,金台路口南站,甜水园北里站,甜水园街北口站,团结湖站,长虹桥西站,工人体育场站,幸福三村站,春秀路站,东直门站,东直门内站,东内小街站,北新桥路口北站,雍和宫站,雍和宫桥北站,地坛东门站,和平里北街站,和平里路口北站,和平里东街站,和平东桥站,和平西桥站,安贞桥东站,安贞里站,五路居站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
